[2015/4/27] | [盤點作業] | [支號：B351507A][流水號：27100117] 

[2015/4/27] | [盤點作業] | [支號：B351507A][流水號：27101533] 

[2015/4/27] | [盤點作業訊息：B351507A，已盤點過，請將此筆資料匯入庫存資料庫!!] 

[2015/4/27] | [盤點作業] | [支號：B341507A][流水號：27114151] 

[2015/4/27] | [盤點作業] | [支號：B341507A][流水號：27114347] 

[2015/4/27] | [盤點作業] | [支號：B341507A][流水號：27114820] 

[2015/4/27] | [盤點作業] | [支號：B341507A][流水號：27114934] 

[2015/4/27] | [盤點作業] | [支號：B341507A][流水號：27130543] 

[2015/4/27] | [盤點作業] | [支號：B341507A][流水號：27134340] 

[2015/4/27] | [盤點作業] | [支號：B341507A][流水號：27140751] 

[2015/4/27] | [盤點作業] | [支號：B341507A][流水號：27141213] 

[2015/4/27] | [盤點作業] | [支號：B341507A][流水號：27144604] 

[2015/4/27] | [盤點作業] | [支號：B341507A][流水號：27150510] 

[2015/4/27] | [盤點作業] | [支號：B341507A][流水號：27150700] 

[2015/4/27] | [盤點作業] | [支號：B341507A][流水號：27153507] 

[2015/4/27] | [盤點作業] | [支號：B341507A][流水號：27153631] 

[2015/4/27] | [盤點作業] | [支號：B341507A][流水號：27153846] 

